"count";"username";"datetime";"text"
"340";"kseniasg1986";"16:46:03 17-07-2021";"@deputatdnepr"
"341";"svetikgalan33";"16:46:04 17-07-2021";"@valyagalan2109"
"342";"drobot_igor_";"16:46:06 17-07-2021";"@_drobot_irina"
"343";"mayyanechytaliuk";"16:46:06 17-07-2021";"@alya_bubnovskaya"
"344";"_nastasiakucher";"16:46:07 17-07-2021";"@nastya_kalamunetska"
"345";"nadintvoia";"16:46:07 17-07-2021";"@vetalkaa_"
"346";"kseniasg1986";"16:46:07 17-07-2021";"@dmitriyberezhnoy111"
"347";"nadintvoia";"16:46:10 17-07-2021";"@kaflykgalina"
"348";"iruska_o";"16:46:11 17-07-2021";"@ok.kksana"
"349";"vladislav.dh";"16:46:12 17-07-2021";"@drobot_igor_ як виграєш, прийдеться ділитись!)))"
"350";"_nastasiakucher";"16:46:13 17-07-2021";"@dimasik__666"
"351";"drobot_igor_";"16:46:14 17-07-2021";"@1__tolik__1"
"352";"mayyanechytaliuk";"16:46:14 17-07-2021";"@anna_lutsenko_anna"
"353";"kagach_pasha";"16:46:14 17-07-2021";"@alinches00000"
"354";"nadintvoia";"16:46:15 17-07-2021";"@galishinnatalia"
"355";"kagach_pasha";"16:46:16 17-07-2021";"@_gaydayalina_"
"356";"kseniasg1986";"16:46:16 17-07-2021";"@zariii_nko"
"357";"ruslanamaliovannaia";"16:46:17 17-07-2021";"@y_kramar"
"358";"kagach_pasha";"16:46:18 17-07-2021";"@alinchikkk2.0"
"359";"danik_op";"16:46:19 17-07-2021";"@irina__kosty4enko @smirnov_nikolayy @rudchukzinaida"
"360";"nadintvoia";"16:46:20 17-07-2021";"@halynakostetskaa"
"361";"kagach_pasha";"16:46:20 17-07-2021";"@oksi4ka_13_"
"362";"_nastasiakucher";"16:46:21 17-07-2021";"@fedzaha_lilia"
"363";"kseniasg1986";"16:46:22 17-07-2021";"@boiko5879"
"364";"kagach_pasha";"16:46:22 17-07-2021";"@bilyy_____"
"365";"kagach_pasha";"16:46:25 17-07-2021";"@vladislav.slavniy"
